Month,Store ID,Product ID,Category,Region,Units_Ordered,Stockout_Occurred,Stockout_Risk,Forecast_APE,Asset_ID,Shipment_Status,Traffic_Status,Waiting_Time,Logistics_Delay,Logistics_Delay_Reason,Delivered_On_Time,Delay_Risk_Score,Perfect_Order
2022-01,S001,P0001,Furniture,South,4110,0,1,0.12114580966626894,Truck_5,In Transit,Detour,25,0,Weather,1,0.25737058970113896,1
2022-01,S001,P0002,Toys,West,3338,1,1,0.17123230176922216,Truck_5,Delivered,Heavy,32,1,Mechanical Failure,0,0.976767883082192,0
2022-01,S001,P0003,Toys,East,3892,1,0,0.41411247852492966,Truck_4,In Transit,Detour,29,0,Mechanical Failure,1,0.2559766879151395,0
2022-01,S001,P0004,Electronics,East,3677,0,1,0.21876795640872057,Truck_3,Delivered,Clear,48,0,Traffic,1,0.34387919450400134,1
2022-01,S001,P0005,Toys,West,3636,1,0,0.1739726643435477,Truck_2,Delayed,Detour,18,1,Weather,0,0.4926584471050884,0
2022-01,S001,P0006,Furniture,South,2821,0,1,0.23141142741575887,Truck_4,In Transit,Clear,52,0,None,1,0.32479902720444537,1
2022-01,S001,P0007,Electronics,North,3408,1,1,0.16684703321461117,Truck_5,Delayed,Heavy,39,1,None,0,0.9875993996532222,0
2022-01,S001,P0008,Clothing,West,3448,0,1,0.1463807956408595,Truck_3,Delayed,Detour,44,1,Traffic,0,0.30630674125174506,0
2022-01,S001,P0009,Toys,East,3356,1,1,0.15632789172480377,Truck_4,Delayed,Heavy,42,1,Traffic,0,0.9670348720589113,0
2022-01,S001,P0010,Electronics,East,3566,1,1,0.4327215026152814,Truck_8,Delayed,Heavy,26,1,Mechanical Failure,0,0.9778286960063594,0
2022-01,S001,P0011,Toys,East,3151,0,0,0.1653860186348112,Truck_6,Delivered,Heavy,54,1,None,0,0.9780282422304376,0
2022-01,S001,P0012,Furniture,North,3185,0,0,0.7689225042724684,Truck_4,Delayed,Clear,15,1,Traffic,0,0.6457955499138067,0
2022-01,S001,P0013,Toys,North,3271,1,0,0.20312406676384237,Truck_2,Delivered,Detour,42,0,None,1,0.38951569710088585,0
2022-01,S001,P0014,Electronics,East,3288,0,1,0.23641313433441571,Truck_6,In Transit,Detour,25,0,None,1,0.25025390345784665,1
2022-01,S001,P0015,Toys,North,3391,0,1,0.5180226593433593,Truck_6,Delivered,Heavy,29,1,None,0,0.9760454463242171,0
