Month,Region,Category,Units_Sold,Revenue,Forecast_MAPE,Stockout_Rate,Avg_Days_of_Supply
2022-01,East,Clothing,20571,1064099.482,0.2218557331726909,0.0,2.134685438614162
2022-01,East,Electronics,21807,1069811.298,0.16859769819549608,0.0136986301369863,2.2317602227456397
2022-01,East,Furniture,22502,1124438.1739999999,0.14819500057327803,0.0,2.4291255949877923
2022-01,East,Groceries,18206,766554.272,0.4572099072814062,0.013605442176870748,2.623094693679501
2022-01,East,Toys,18506,945059.8425,0.2632585628936558,0.007352941176470588,2.248696763024456
2022-01,North,Clothing,20086,1020754.661,0.28948915401644726,0.0,2.0021820627700087
2022-01,North,Electronics,24078,1247619.8585,0.15253445081613612,0.016483516483516484,2.3640153487783815
2022-01,North,Furniture,20564,988271.1305,0.25164626972399234,0.0,2.116537560453429
2022-01,North,Groceries,23460,1172387.1865,0.3619316203679531,0.0,2.3379687585671096
2022-01,North,Toys,22794,1199258.7865,0.27905958253909463,0.011494252873563218,2.202669695740331
2022-01,South,Clothing,16536,855963.321,0.2695453110913682,0.0072992700729927005,2.1345317421564753
2022-01,South,Electronics,23677,1152616.048,0.14608040593350008,0.006172839506172839,2.1906257240500993
2022-01,South,Furniture,19833,972901.8695,0.38410287408452115,0.014285714285714285,2.235384888213808
2022-01,South,Groceries,17647,948951.047,0.1773265977420493,0.007246376811594203,2.45708812457955
2022-01,South,Toys,20420,981815.668,0.18519680894136356,0.0196078431372549,2.1706684624282393
2022-01,West,Clothing,20284,1106332.9825,0.13967830706766024,0.0,2.230257889509241
2022-01,West,Electronics,20937,1030011.4695,0.22424651213851718,0.0,2.3700250292960408
2022-01,West,Furniture,24603,1158480.294,0.18485038632052103,0.0,2.272965476502065
2022-01,West,Groceries,22826,1047379.806,0.2347200991845041,0.005813953488372093,2.252583928044993
2022-01,West,Toys,20601,1066825.4215,0.25954325050041155,0.0064516129032258064,2.134757176491471
2022-02,East,Clothing,24041,1104750.752,0.16940012128957907,0.0058823529411764705,2.0990731569276866
2022-02,East,Electronics,18407,875681.1345,0.1898869603999111,0.0,2.122856486686777
2022-02,East,Furniture,15038,750734.2925,0.21708123053336037,0.008333333333333333,2.086541785393936
2022-02,East,Groceries,18414,975701.0,0.3938191858805328,0.014084507042253521,2.2215831939434376
2022-02,East,Toys,19105,898793.0745,0.20134427826861884,0.01680672268907563,2.2726582721663124
2022-02,North,Clothing,24865,1267534.624,0.1632471956098832,0.006493506493506494,2.2224420935687874
2022-02,North,Electronics,16791,812374.113,0.1544340465729604,0.015384615384615385,2.056812735385174
2022-02,North,Furniture,20216,1016039.7045,0.35742388330843733,0.0,2.216047804106853
2022-02,North,Groceries,15748,747732.223,0.42592181212898367,0.0,1.9610783924343302
2022-02,North,Toys,20797,949691.8325,0.21374266433128647,0.0,2.3076767161865455
2022-02,South,Clothing,22516,1049583.0905,0.17073699677355084,0.006535947712418301,2.115248487451573
2022-02,South,Electronics,20332,1017861.2485,0.25020566904633956,0.006756756756756757,1.924108095225208
2022-02,South,Furniture,19393,954170.7265,0.19341508671217572,0.0,2.113984468745343
2022-02,South,Groceries,21956,1123589.393,0.3864789985209766,0.0,2.173242524098283
2022-02,South,Toys,19127,992688.3025,0.23072134988381848,0.007462686567164179,2.003321516771369
2022-02,West,Clothing,18384,854008.35,0.3501677646713017,0.007246376811594203,2.1321546710346815
2022-02,West,Electronics,17556,854666.1475000001,0.17648946119504533,0.007692307692307693,2.0388841729200475
2022-02,West,Furniture,20676,1039140.3075,0.2538522983504614,0.013157894736842105,2.166244174193135
2022-02,West,Groceries,17308,823913.382,0.1434019533244631,0.0,2.0361429966917743
2022-02,West,Toys,20382,952379.794,0.3656987473413296,0.007246376811594203,2.131167967795757
2022-03,East,Clothing,20355,1015902.7175,0.21364699951636193,0.0,2.0969516891881472
2022-03,East,Electronics,21387,1111017.7835,0.22333833914033507,0.0064516129032258064,2.0879500124258414
2022-03,East,Furniture,20330,1042483.252,0.32653747373231545,0.0,2.262031093258261
2022-03,East,Groceries,21288,1137544.325,0.1923070452756659,0.006172839506172839,2.2117309452133247
2022-03,East,Toys,24002,1290568.832,0.19841025620124256,0.0125,2.1252534344598244
2022-03,North,Clothing,14230,734758.4525,0.29337193845218035,0.0,2.0262803222056003
2022-03,North,Electronics,17906,875982.429,0.2806751802327091,0.0,2.0407310118223396
2022-03,North,Furniture,24661,1307741.404,0.18842889663772303,0.0,2.207545856131689
2022-03,North,Groceries,25453,1260344.733,0.19907790766295083,0.0,2.128383602961912
2022-03,North,Toys,21270,1092310.1265,0.13722478741736543,0.0136986301369863,2.115971226796036
2022-03,South,Clothing,21835,1074228.381,0.2668613923842474,0.006622516556291391,2.2102460850463723
2022-03,South,Electronics,22368,1139164.309,0.22761903463712432,0.0,2.025598267808698
2022-03,South,Furniture,22585,1126467.911,0.3605470244428386,0.0,2.259263911303238
2022-03,South,Groceries,24570,1264564.21,0.22214861751347884,0.0,2.2198603194864748
2022-03,South,Toys,17294,887226.529,0.3723567648455672,0.0,2.2594165754596833
2022-03,West,Clothing,19354,987261.5525,0.18565866273547343,0.0,2.028181241725404
2022-03,West,Electronics,19625,972761.1089999999,0.15579327878417196,0.02142857142857143,2.221934392783145
2022-03,West,Furniture,22435,1047923.1205,0.16792236539313157,0.012422360248447204,1.9484795443815146
